cell_id,district,lat,lon,elevation_mean,elevation_min,elevation_max,slope_mean,slope_max,aspect_mean,curvature_mean,twi_mean
KOH_00001,Kohima,25.650616,93.895389,1487.239258,1421.077515,1569.042603,34.447842,41.407372,267.183563,-0.341561,5.326413
KOH_00002,Kohima,25.654129,93.894155,1498.079102,1362.540894,1608.010864,28.997784,50.820393,222.383102,0.166212,5.201557
KOH_00003,Kohima,25.658344,93.894176,1394.925415,1141.519165,1497.690918,34.704113,61.536819,216.292923,0.408176,4.808261
KOH_00004,Kohima,25.662690,93.894865,1143.984863,1053.265015,1322.224854,32.718548,51.703888,250.304199,-0.047419,5.326487
KOH_00005,Kohima,25.667050,93.895588,1062.698364,917.670227,1165.176636,32.632820,46.723087,249.197586,-0.112595,5.067888
KOH_00006,Kohima,25.670325,93.896153,859.558899,791.677673,908.012085,39.069431,39.069431,210.840591,1.076752,4.708320
KOH_00007,Kohima,25.646025,93.899993,1390.091187,1321.715088,1473.390625,29.531807,44.582607,219.769196,-0.283702,5.228837
KOH_00008,Kohima,25.649457,93.898828,1357.002686,1209.521484,1504.359619,31.418222,47.059654,259.459045,-0.165101,5.467148
KOH_00009,Kohima,25.653870,93.898750,1279.011841,1073.840454,1450.618652,34.200455,50.459244,246.868195,0.029144,5.211431
KOH_00010,Kohima,25.658384,93.898784,1212.580444,1027.822754,1392.176025,34.668491,53.354263,252.426926,0.042479,5.049296
KOH_00011,Kohima,25.662899,93.898818,995.980103,836.195312,1197.834473,33.511230,57.860256,228.723724,-0.066430,5.454350
KOH_00012,Kohima,25.667413,93.898852,895.508118,775.463440,1053.569702,32.440372,54.536785,232.668045,-0.257469,5.611688
KOH_00013,Kohima,25.671857,93.898996,860.563049,736.476074,1045.265991,30.560562,52.887276,57.922188,-0.108544,5.643295
KOH_00014,Kohima,25.676289,93.899615,963.853638,843.068115,1089.137573,31.518606,43.309624,101.324524,0.121352,5.216471
KOH_00015,Kohima,25.680838,93.900240,815.949890,720.653381,955.057129,25.549044,45.738045,173.190369,-0.061993,6.039683
KOH_00016,Kohima,25.684541,93.900789,718.761597,680.889771,748.751404,22.203499,36.140377,95.238266,-0.350694,6.258004
KOH_00017,Kohima,25.633152,93.905885,1936.270508,1921.191528,1951.349487,,,,,
KOH_00018,Kohima,25.636052,93.905437,1664.072510,1534.763550,1894.719238,35.488773,50.408504,138.493713,-0.727019,6.093193
KOH_00019,Kohima,25.640720,93.904835,1434.759399,1338.839844,1583.063721,31.745974,48.337189,141.474091,-0.182457,5.756139
KOH_00020,Kohima,25.644863,93.903727,1330.972656,1214.057739,1471.296509,30.394207,48.007046,187.511063,-0.141468,5.694578
KOH_00021,Kohima,25.649324,93.903697,1211.369263,1127.767334,1328.184204,28.623196,54.884594,197.935577,-0.061191,5.585384
KOH_00022,Kohima,25.653839,93.903731,1100.814087,992.198608,1250.569580,31.239563,53.781384,214.535614,-0.193379,5.684484
KOH_00023,Kohima,25.658353,93.903765,999.317993,907.813293,1122.397339,28.462299,50.094841,217.537872,-0.267841,5.870285
KOH_00024,Kohima,25.662868,93.903799,969.374512,837.649597,1155.234131,30.869270,49.190277,72.002579,-0.198194,5.873408
KOH_00025,Kohima,25.667383,93.903833,994.136963,838.772888,1146.618042,32.734657,50.049976,97.868454,0.215038,4.979737
KOH_00026,Kohima,25.671897,93.903867,1009.042480,863.378174,1173.903442,29.842583,41.660313,37.471142,-0.169140,5.918163
KOH_00027,Kohima,25.676412,93.903901,1110.066772,955.220764,1232.662720,29.335819,47.570984,133.624557,0.190540,5.119509
KOH_00028,Kohima,25.680926,93.903935,900.383728,750.971863,1035.078979,32.557869,48.085739,120.643097,-0.202484,5.691502
KOH_00029,Kohima,25.685439,93.903972,845.051697,708.408875,976.886841,26.157551,43.956371,101.103882,0.131561,5.387689
KOH_00030,Kohima,25.689728,93.904509,839.049316,748.404358,938.880188,26.370972,40.387421,106.503418,0.031197,5.273806
KOH_00031,Kohima,25.693836,93.905628,723.048035,645.761169,788.550232,18.557060,27.773230,173.129333,-0.229793,6.591389
KOH_00032,Kohima,25.696804,93.906491,,,,,,,,
KOH_00033,Kohima,25.628342,93.910366,2139.564209,2085.622314,2188.087646,23.563711,26.244349,318.975037,-0.057380,6.197608
KOH_00034,Kohima,25.631493,93.908879,2159.089355,1927.436035,2280.090332,34.789047,57.645210,178.367432,0.240060,4.904106
KOH_00035,Kohima,25.635750,93.908575,1836.026855,1598.965942,2049.428955,42.532337,58.919670,147.751740,-0.134929,5.324291
KOH_00036,Kohima,25.640264,93.908610,1609.343994,1442.530151,1863.417358,34.653004,58.065468,126.966949,0.094610,5.141678
KOH_00037,Kohima,25.644779,93.908644,1432.877319,1277.336792,1609.870117,35.063644,55.714397,139.752762,-0.127297,5.360898
KOH_00038,Kohima,25.649293,93.908678,1371.782471,1206.847290,1592.230957,39.622055,57.130329,123.674828,0.189697,4.918559
KOH_00039,Kohima,25.653808,93.908712,1161.666992,1038.762817,1301.269897,35.497459,50.540649,108.193253,-0.026225,5.472549
KOH_00040,Kohima,25.658322,93.908746,1107.268921,958.250671,1336.361084,34.294819,50.999084,101.850365,-0.107470,5.588330
KOH_00041,Kohima,25.662837,93.908781,1185.286987,1049.302368,1352.490723,28.038973,47.964237,48.130146,0.244178,5.338507
KOH_00042,Kohima,25.667352,93.908815,1183.798950,1037.352051,1382.278198,34.062290,48.332439,117.275612,-0.012213,5.136939
KOH_00043,Kohima,25.671866,93.908849,1141.135742,1009.353577,1304.745483,25.449137,40.610073,54.900681,-0.181416,6.075345
KOH_00044,Kohima,25.676381,93.908883,1239.880615,1049.764526,1313.734253,27.616665,54.866859,94.424080,0.199369,5.150026
KOH_00045,Kohima,25.680895,93.908918,1105.134521,946.112366,1253.508667,32.987076,52.258583,158.953705,0.260221,5.148067
KOH_00046,Kohima,25.685410,93.908952,868.797791,745.331543,982.839233,24.101374,45.018341,227.078461,-0.151401,5.977636
KOH_00047,Kohima,25.689924,93.908986,798.934570,706.908447,938.385010,22.785080,38.988892,237.686157,0.031458,5.667041
KOH_00048,Kohima,25.694439,93.909020,701.052246,648.290527,793.434021,14.751417,28.525593,174.088959,-0.022138,6.525874
KOH_00049,Kohima,25.698578,93.909694,737.850769,644.086548,851.417664,19.592644,34.445107,10.072523,-0.026277,6.037341
KOH_00050,Kohima,25.701947,93.910956,852.386230,844.919495,867.473022,10.994639,19.766157,15.868424,0.240548,5.567161
KOH_00051,Kohima,25.623305,93.915139,1829.101807,1742.501465,1898.239868,17.712820,26.588551,344.577087,-0.122813,7.892490
KOH_00052,Kohima,25.626903,93.913745,1999.860596,1864.664185,2132.428711,24.180202,32.957138,331.615753,-0.025302,6.399302
KOH_00053,Kohima,25.631204,93.913521,2162.613770,2033.100098,2241.614746,22.347940,58.413639,321.879578,0.164050,5.596591
KOH_00054,Kohima,25.635718,93.913556,2075.893555,1862.484619,2256.804199,39.447487,55.158184,139.892990,0.191409,4.936917
KOH_00055,Kohima,25.640233,93.913590,1756.153442,1556.074829,1972.087769,41.401409,64.554939,150.258041,-0.283749,5.666621
KOH_00056,Kohima,25.644748,93.913624,1652.880005,1441.562866,1863.667236,38.362644,56.861027,90.822014,0.182020,5.092377
KOH_00057,Kohima,25.649262,93.913659,1421.116211,1190.060669,1681.918213,42.329460,55.168148,192.017776,0.044407,5.209060
KOH_00058,Kohima,25.653777,93.913693,1282.145630,1126.312500,1517.166626,33.280445,46.206703,46.122147,-0.157272,5.810940
KOH_00059,Kohima,25.658291,93.913728,1363.863159,1106.851929,1610.692383,39.784424,57.505936,112.667389,0.141166,4.927700
KOH_00060,Kohima,25.662806,93.913762,1300.576172,1149.290039,1453.147095,25.216831,39.550415,40.979481,-0.216498,6.604596
KOH_00061,Kohima,25.667320,93.913796,1428.062256,1259.980225,1586.280762,31.520487,48.632172,64.980431,0.213633,5.241285
KOH_00062,Kohima,25.671835,93.913831,1366.038696,1207.546021,1550.664673,35.629360,51.438324,142.698761,0.089268,5.098550
KOH_00063,Kohima,25.676350,93.913865,1144.680176,980.482544,1360.641479,34.399181,54.106773,233.308075,-0.165266,5.612497
KOH_00064,Kohima,25.680864,93.913900,1053.470581,853.444214,1216.731445,33.165695,51.868649,246.796936,0.295133,4.966721
KOH_00065,Kohima,25.685379,93.913934,839.056763,746.577820,1003.486328,28.011999,63.243740,116.438438,-0.307405,6.190512
KOH_00066,Kohima,25.689893,93.913969,813.706604,709.144348,917.981934,24.642057,38.167992,104.460663,0.105946,5.578658
KOH_00067,Kohima,25.694408,93.914003,753.759521,685.025757,849.886230,21.441132,40.414673,76.728455,-0.032609,5.802769
KOH_00068,Kohima,25.698922,93.914037,776.239441,689.970093,857.214233,19.412077,35.910412,42.663250,-0.172086,6.179443
KOH_00069,Kohima,25.703223,93.914305,896.388977,817.787659,970.003296,18.151382,32.784378,3.759855,0.089317,5.653584
KOH_00070,Kohima,25.706433,93.915753,953.551086,899.009644,977.041687,18.272009,32.321926,255.581390,0.372005,5.246790
KOH_00071,Kohima,25.613882,93.919179,1656.669922,1576.495605,1722.162842,21.933649,42.129795,61.388119,0.258494,5.332263
KOH_00072,Kohima,25.617634,93.918871,1666.114868,1578.613403,1724.881714,17.410759,33.970192,49.972252,-0.069513,6.129477
KOH_00073,Kohima,25.622168,93.918462,1789.815308,1714.392334,1860.569214,15.796314,26.713020,357.416504,0.012504,6.186313
