event_id,district,cell_id,event_date,event_time,latitude,longitude,gpm_rainfall_grid_cell,rainfall_30min,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_72h,rainfall_intensity,antecedent_rainfall,rainfall_source,rainfall_timestamp,data_status
LS_KOH_2024_001,Kohima,KOH_01378,2024-08-18,04:30,25.688500,94.027000,GPM_0.1DEG_N25.65_E094.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-08-18 04:30,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_KOH_2024_002,Kohima,KOH_03175,2024-06-29,11:00,25.602500,94.119200,GPM_0.1DEG_N25.65_E094.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-06-29 11:00,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_KOH_2023_001,Kohima,KOH_03071,2023-07-21,15:45,25.626000,94.112000,GPM_0.1DEG_N25.65_E094.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2023-07-21 15:45,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_KOH_2022_001,Kohima,KOH_01187,2022-07-09,08:15,25.703200,94.019500,GPM_0.1DEG_N25.75_E094.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2022-07-09 08:15,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_KOH_2021_001,Kohima,KOH_02654,2021-09-04,14:00,25.667000,94.095000,GPM_0.1DEG_N25.65_E094.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2021-09-04 14:00,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_KOH_2024_003,Kohima,,2024-07-12,09:30,25.591000,94.135000,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-07-12 09:30,SKIPPED_UNVERIFIED_COORDINATES
LS_KOH_2023_002,Kohima,,2023-08-05,17:00,25.568000,94.135000,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2023-08-05 17:00,SKIPPED_UNVERIFIED_COORDINATES
LS_KOH_2022_002,Kohima,,2022-06-19,10:30,,,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2022-06-19 10:30,SKIPPED_MISSING_COORDINATES
LS_KOH_2020_001,Kohima,,2020-08-15,06:00,,,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2020-08-15 06:00,SKIPPED_MISSING_COORDINATES
LS_AIZ_2024_001,Aizawl,AIZ_01960,2024-05-28,06:00,23.689500,92.716500,GPM_0.1DEG_N23.65_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-05-28 06:00,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2024_002,Aizawl,AIZ_02185,2024-05-28,07:30,23.680200,92.723100,GPM_0.1DEG_N23.65_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-05-28 07:30,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2023_001,Aizawl,AIZ_02321,2023-07-02,16:20,23.778100,92.730200,GPM_0.1DEG_N23.75_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2023-07-02 16:20,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2022_001,Aizawl,AIZ_02559,2022-06-18,12:00,23.824500,92.738800,GPM_0.1DEG_N23.85_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2022-06-18 12:00,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2021_001,Aizawl,AIZ_02314,2021-08-27,05:45,23.749000,92.729000,GPM_0.1DEG_N23.75_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2021-08-27 05:45,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2020_001,Aizawl,AIZ_02431,2020-09-22,18:10,23.761000,92.736000,GPM_0.1DEG_N23.75_E092.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2020-09-22 18:10,UNAVAILABLE_EARTHDATA_AUTH_REQUIRED
LS_AIZ_2024_003,Aizawl,,2024-05-29,14:00,23.732000,92.738000,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2024-05-29 14:00,SKIPPED_UNVERIFIED_COORDINATES
LS_AIZ_2023_002,Aizawl,,2023-08-24,11:15,23.795000,92.658000,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2023-08-24 11:15,SKIPPED_UNVERIFIED_COORDINATES
LS_AIZ_2022_002,Aizawl,,2022-07-14,08:00,,,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2022-07-14 08:00,SKIPPED_MISSING_COORDINATES
LS_AIZ_2020_002,Aizawl,,2020-07-11,13:30,,,NULL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NASA GPM IMERG V07B (GPM_3IMERGHH),2020-07-11 13:30,SKIPPED_MISSING_COORDINATES
