area_id,area_name,cell_id,distance_to_cell_m,association_method,source
KOH_LOC_044,Poilwa,KOH_00119,1831.76,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00120,2211.66,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00147,1142.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00148,1376.52,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00149,1817.06,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00150,2270.19,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00152,2397.76,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00153,2267.56,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00154,2244.62,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00155,2332.12,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00180,1254.15,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00181,1338.06,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00182,1622.12,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00183,2017.48,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00184,2452.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00185,2207.68,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00186,1939.65,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00187,1776.08,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00188,1746.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00189,1857.84,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00190,2087.12,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00191,2400.94,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00218,2334.84,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00219,1927.7,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00220,1755.31,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00221,1622.02,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00222,1747.71,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00223,1997.42,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00224,2329.87,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00225,2236.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00226,1839.93,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00227,1507.79,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00228,1290.73,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00229,1249.99,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00230,1400.96,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00231,1693.32,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00232,2067.81,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00233,2487.61,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00261,2265.2,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00262,2134.02,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00263,2116.74,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00264,2216.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_044,Poilwa,KOH_00265,2417.87,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00266,2476.01,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00267,2002.77,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00268,1547.67,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00269,1132.89,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00270,822.17,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00271,756.49,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00272,986.19,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00273,1370.1,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00274,1812.56,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00275,2279.9,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00296,2268.64,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00309,2374.67,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00310,1876.06,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00311,1379.74,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00312,890.0,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00313,429.35,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00314,284.03,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00315,693.61,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00316,1177.0,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00317,1671.48,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00318,2169.33,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00338,2359.82,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00339,1905.24,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00340,1557.09,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00352,2376.23,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00353,1877.89,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00354,1382.36,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00355,893.9,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00356,437.49,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00357,296.1,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00358,698.53,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00359,1179.98,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00360,1673.48,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00361,2170.96,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00381,2304.11,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00382,1802.17,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00383,1351.96,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00384,983.96,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00396,2480.4,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00397,2008.05,nearest_centroid_max_2500m,OpenStreetMap Overpass API
