cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00001,Kohima,25.650616,93.895389,BLK_KOH_R14_C19,34.447842,1487.239258,-0.341561,5.326413,69.4,MODERATE,0.4158,MODERATE_TERRAIN_SIMILARITY,"Slope (54%), TWI (12%), Curvature (22%), Relief (12%)",UNKNOWN,
KOH_00002,Kohima,25.654129,93.894155,BLK_KOH_R14_C19,28.997784,1498.079102,0.166212,5.201557,63.72,MODERATE,0.4641,MODERATE_TERRAIN_SIMILARITY,"Slope (59%), TWI (12%), Curvature (6%), Relief (23%)",UNKNOWN,
KOH_00003,Kohima,25.658344,93.894176,BLK_KOH_R14_C19,34.704113,1394.925415,0.408176,4.808261,65.05,MODERATE,0.0763,DISSIMILAR_TERRAIN,"Slope (69%), TWI (8%), Curvature (0%), Relief (23%)",UNKNOWN,
KOH_00004,Kohima,25.66269,93.894865,BLK_KOH_R14_C19,32.718548,1143.984863,-0.047419,5.326487,72.17,HIGH,0.4757,MODERATE_TERRAIN_SIMILARITY,"Slope (56%), TWI (11%), Curvature (12%), Relief (21%)",UNKNOWN,
KOH_00005,Kohima,25.66705,93.895588,BLK_KOH_R14_C19,32.63282,1062.698364,-0.112595,5.067888,69.83,MODERATE,0.5326,MODERATE_TERRAIN_SIMILARITY,"Slope (55%), TWI (10%), Curvature (14%), Relief (21%)",UNKNOWN,
KOH_00006,Kohima,25.670325,93.896153,BLK_KOH_R14_C19,39.069431,859.558899,1.076752,4.70832,50.48,MODERATE,0.0046,DISSIMILAR_TERRAIN,"Slope (77%), TWI (9%), Curvature (0%), Relief (14%)",UNKNOWN,
KOH_00007,Kohima,25.646025,93.899993,BLK_KOH_R14_C19,29.531807,1390.091187,-0.283702,5.228837,66.22,MODERATE,0.5516,MODERATE_TERRAIN_SIMILARITY,"Slope (54%), TWI (12%), Curvature (21%), Relief (13%)",UNKNOWN,
KOH_00008,Kohima,25.649457,93.898828,BLK_KOH_R14_C19,31.418222,1357.002686,-0.165101,5.467148,73.06,HIGH,0.6102,MODERATE_TERRAIN_SIMILARITY,"Slope (52%), TWI (13%), Curvature (15%), Relief (20%)",UNKNOWN,
KOH_00009,Kohima,25.65387,93.89875,BLK_KOH_R14_C19,34.200455,1279.011841,0.029144,5.211431,70.12,HIGH,0.4592,MODERATE_TERRAIN_SIMILARITY,"Slope (58%), TWI (11%), Curvature (10%), Relief (21%)",UNKNOWN,
KOH_00010,Kohima,25.658384,93.898784,BLK_KOH_R14_C19,34.668491,1212.580444,0.042479,5.049296,70.25,HIGH,0.3477,LOW_TERRAIN_SIMILARITY,"Slope (60%), TWI (9%), Curvature (9%), Relief (22%)",UNKNOWN,
