cell_id,district,ffsi_score,ffsi_class,primary_contributor,status
KOH_00001,Kohima,12.31,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00002,Kohima,14.0,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00003,Kohima,47.94,LOW,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00004,Kohima,13.6,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00005,Kohima,10.57,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00006,Kohima,7.06,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00007,Kohima,12.39,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00008,Kohima,17.37,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00009,Kohima,15.7,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00010,Kohima,14.49,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00011,Kohima,60.26,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00012,Kohima,62.95,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00013,Kohima,62.16,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00014,Kohima,49.14,LOW,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00015,Kohima,59.43,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00016,Kohima,64.23,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00017,Kohima,,,,INSUFFICIENT_DATA
KOH_00018,Kohima,20.85,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00019,Kohima,57.36,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00020,Kohima,58.67,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00021,Kohima,60.97,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00022,Kohima,62.35,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00023,Kohima,64.07,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00024,Kohima,63.02,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00025,Kohima,43.76,LOW,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00026,Kohima,59.2,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00027,Kohima,14.81,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00028,Kohima,55.1,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00029,Kohima,48.71,LOW,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00030,Kohima,15.55,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00031,Kohima,61.48,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00032,Kohima,,,,INSUFFICIENT_DATA
KOH_00033,Kohima,17.91,VERY_LOW,High topographic wetness convergence,AVAILABLE
KOH_00034,Kohima,11.6,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00035,Kohima,16.29,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00036,Kohima,16.91,VERY_LOW,Large upstream contributing catchment,AVAILABLE
KOH_00037,Kohima,55.78,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00038,Kohima,52.94,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00039,Kohima,59.49,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00040,Kohima,59.23,MODERATE,Low elevation above nearest drainage (HAND),AVAILABLE
KOH_00041,Kohima,15.66,VERY_LOW,Large upstream contributing catchment,AVAILABLE
