cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
KOH_00001,Kohima,AVAILABLE,4098.8,secondary,0.0,20250.7,Naga Hospital,11954.8,Government High School
KOH_00002,Kohima,AVAILABLE,4504.8,secondary,0.0,20337.5,Naga Hospital,12128.1,Government High School
KOH_00003,Kohima,AVAILABLE,4679.4,residential,0.0,20301.6,Naga Hospital,12202.5,Government High School
KOH_00004,Kohima,AVAILABLE,4206.0,residential,0.0,20208.6,Naga Hospital,12231.9,Government High School
KOH_00005,Kohima,AVAILABLE,3734.8,residential,0.0,20123.8,Naga Hospital,12277.8,Government High School
KOH_00006,Kohima,AVAILABLE,3384.2,residential,0.0,20065.2,Naga Hospital,12322.6,Government High School
KOH_00007,Kohima,AVAILABLE,3451.8,secondary,0.0,19851.4,Naga Hospital,11446.3,Government High School
KOH_00008,Kohima,AVAILABLE,3847.2,secondary,0.0,19921.3,Naga Hospital,11597.4,Government High School
KOH_00009,Kohima,AVAILABLE,4304.6,secondary,0.0,19880.4,Naga Hospital,11667.7,Government High School
KOH_00010,Kohima,AVAILABLE,4732.2,residential,0.0,19839.6,Naga Hospital,11748.9,Government High School
KOH_00011,Kohima,AVAILABLE,4241.2,residential,0.0,19811.3,Naga Hospital,11850.7,Government High School
KOH_00012,Kohima,AVAILABLE,3752.5,residential,0.0,19795.6,Naga Hospital,11972.5,Government High School
KOH_00013,Kohima,AVAILABLE,3273.2,residential,0.0,19781.4,Naga Hospital,12100.8,Government High School
KOH_00014,Kohima,AVAILABLE,2811.8,residential,0.0,19731.7,Naga Hospital,12202.3,Government High School
KOH_00015,Kohima,AVAILABLE,2351.9,residential,0.0,19694.6,Naga Hospital,12327.4,Government High School
KOH_00016,Kohima,AVAILABLE,1996.5,residential,0.0,19670.0,Naga Hospital,12439.9,Government High School
KOH_00017,Kohima,AVAILABLE,1908.7,secondary,0.0,19509.2,Naga Hospital,10837.0,Government High School
KOH_00018,Kohima,AVAILABLE,2221.8,secondary,0.0,19489.5,Naga Hospital,10870.0,Government High School
KOH_00019,Kohima,AVAILABLE,2727.4,secondary,0.0,19457.4,Naga Hospital,10931.2,Government High School
KOH_00020,Kohima,AVAILABLE,3197.8,secondary,0.0,19497.5,Naga Hospital,11063.3,Government High School
KOH_00021,Kohima,AVAILABLE,3671.2,secondary,0.0,19437.4,Naga Hospital,11110.0,Government High School
KOH_00022,Kohima,AVAILABLE,4151.1,secondary,0.0,19382.7,Naga Hospital,11172.9,Government High School
KOH_00023,Kohima,AVAILABLE,4634.9,secondary,0.0,19340.8,Naga Hospital,11257.7,Government High School
KOH_00024,Kohima,AVAILABLE,4356.3,residential,0.0,19311.8,Naga Hospital,11363.9,Government High School
KOH_00025,Kohima,AVAILABLE,3878.4,residential,0.0,19295.7,Naga Hospital,11490.9,Government High School
KOH_00026,Kohima,AVAILABLE,3406.9,residential,0.0,19292.6,Naga Hospital,11638.0,Government High School
KOH_00027,Kohima,AVAILABLE,2944.7,residential,0.0,19302.4,Naga Hospital,11804.5,Government High School
KOH_00028,Kohima,AVAILABLE,2497.2,residential,0.0,19325.1,Naga Hospital,11989.5,Government High School
KOH_00029,Kohima,AVAILABLE,2074.1,residential,0.0,19360.6,Naga Hospital,12191.9,Government High School
KOH_00030,Kohima,AVAILABLE,1746.5,residential,0.0,19356.0,Naga Hospital,12355.2,Government High School
KOH_00031,Kohima,AVAILABLE,1562.8,residential,0.0,19302.5,Naga Hospital,12473.8,Government High School
KOH_00032,Kohima,AVAILABLE,1513.9,residential,0.0,19265.5,Naga Hospital,12565.1,Government High School
KOH_00033,Kohima,AVAILABLE,1252.9,secondary,0.0,19183.5,Kohima Diagnostic Center,10430.2,Government High School
KOH_00034,Kohima,AVAILABLE,1629.9,secondary,0.0,19254.5,Naga Hospital,10548.2,Government High School
KOH_00035,Kohima,AVAILABLE,2090.8,secondary,0.0,19186.8,Naga Hospital,10555.8,Government High School
KOH_00036,Kohima,AVAILABLE,2573.3,secondary,0.0,19092.2,Naga Hospital,10551.2,Government High School
KOH_00037,Kohima,AVAILABLE,3061.5,secondary,0.0,19010.3,Naga Hospital,10570.2,Government High School
KOH_00038,Kohima,AVAILABLE,3530.6,secondary,0.0,18941.2,Naga Hospital,10612.8,Government High School
KOH_00039,Kohima,AVAILABLE,3992.0,secondary,0.0,18885.1,Naga Hospital,10678.7,Government High School
KOH_00040,Kohima,AVAILABLE,4446.8,secondary,0.0,18842.1,Naga Hospital,10767.4,Government High School
KOH_00041,Kohima,AVAILABLE,4457.5,residential,0.0,18812.4,Naga Hospital,10878.3,Government High School
KOH_00042,Kohima,AVAILABLE,4013.1,residential,0.0,18795.8,Naga Hospital,11010.9,Government High School
KOH_00043,Kohima,AVAILABLE,3583.5,residential,0.0,18792.6,Naga Hospital,11164.4,Government High School
KOH_00044,Kohima,AVAILABLE,3174.4,residential,0.0,18802.7,Naga Hospital,11337.8,Government High School
KOH_00045,Kohima,AVAILABLE,2773.9,residential,0.0,18826.0,Naga Hospital,11530.3,Government High School
KOH_00046,Kohima,AVAILABLE,2399.8,residential,0.0,18862.6,Naga Hospital,11740.9,Government High School
KOH_00047,Kohima,AVAILABLE,2079.4,residential,0.0,18912.3,Naga Hospital,11968.8,Government High School
KOH_00048,Kohima,AVAILABLE,1840.8,residential,0.0,18975.1,Naga Hospital,12212.9,Government High School
KOH_00049,Kohima,AVAILABLE,1707.3,residential,0.0,18980.5,Naga Hospital,12395.7,Government High School
KOH_00050,Kohima,AVAILABLE,1531.2,residential,0.0,18922.9,Naga Hospital,12472.3,Government Primary School
KOH_00051,Kohima,AVAILABLE,625.6,secondary,0.0,18809.2,Kohima Diagnostic Center,10030.4,Government High School
KOH_00052,Kohima,AVAILABLE,1027.1,secondary,0.0,18875.0,Kohima Diagnostic Center,10111.4,Government High School
KOH_00053,Kohima,AVAILABLE,1503.6,secondary,0.0,18807.3,Naga Hospital,10085.8,Government High School
KOH_00054,Kohima,AVAILABLE,1963.7,secondary,0.0,18697.4,Naga Hospital,10056.1,Government High School
KOH_00055,Kohima,AVAILABLE,2414.0,secondary,0.0,18600.3,Naga Hospital,10051.2,Government High School
KOH_00056,Kohima,AVAILABLE,2874.9,secondary,0.0,18516.2,Naga Hospital,10071.2,Government High School
KOH_00057,Kohima,AVAILABLE,3330.6,secondary,0.0,18445.2,Naga Hospital,10115.9,Government High School
KOH_00058,Kohima,AVAILABLE,3796.6,secondary,0.0,18387.6,Naga Hospital,10185.0,Government High School
KOH_00059,Kohima,AVAILABLE,4270.3,secondary,0.0,18343.5,Naga Hospital,10277.9,Government High School
KOH_00060,Kohima,AVAILABLE,4263.9,residential,0.0,18312.9,Naga Hospital,10394.2,Government High School
KOH_00061,Kohima,AVAILABLE,3797.0,residential,0.0,18295.9,Naga Hospital,10532.8,Government High School
KOH_00062,Kohima,AVAILABLE,3339.6,residential,0.0,18292.6,Naga Hospital,10693.1,Government High School
KOH_00063,Kohima,AVAILABLE,2896.4,residential,0.0,18303.0,Naga Hospital,10874.1,Government High School
KOH_00064,Kohima,AVAILABLE,2474.8,residential,0.0,18326.9,Naga Hospital,11074.6,Government High School
KOH_00065,Kohima,AVAILABLE,2087.3,residential,0.0,18364.5,Naga Hospital,11293.8,Government High School
KOH_00066,Kohima,AVAILABLE,1747.6,residential,0.0,18415.6,Naga Hospital,11530.5,Government High School
KOH_00067,Kohima,AVAILABLE,1444.3,residential,0.0,18480.1,Naga Hospital,11783.6,Government High School
KOH_00068,Kohima,AVAILABLE,1270.9,residential,0.0,18557.8,Naga Hospital,12052.2,Government High School
KOH_00069,Kohima,AVAILABLE,1186.8,residential,0.0,18620.9,Naga Hospital,12148.2,Government Primary School
KOH_00070,Kohima,AVAILABLE,915.0,residential,0.0,18553.6,Naga Hospital,12038.8,Government Primary School
KOH_00071,Kohima,AVAILABLE,420.4,secondary,0.0,18643.4,Kohima Diagnostic Center,9863.4,Government High School
KOH_00072,Kohima,AVAILABLE,52.6,secondary,438.3,18574.3,Kohima Diagnostic Center,9788.0,Government High School
