cell_id,district,flow_accumulation_max,drainage_density,distance_to_drainage_m,hand_mean,hand_min
KOH_00001,Kohima,22.000000,0.000000,797.492126,323.999298,257.837402
KOH_00002,Kohima,68.000000,0.000000,942.821838,305.402466,31.805664
KOH_00003,Kohima,136.000000,0.000000,859.592712,346.572784,0.000000
KOH_00004,Kohima,46.000000,0.000000,594.987427,296.149719,204.451233
KOH_00005,Kohima,17.000000,0.000000,418.907410,268.385071,175.986511
KOH_00006,Kohima,6.000000,0.000000,177.392120,122.475845,55.201599
KOH_00007,Kohima,28.000000,0.000000,381.983002,200.552841,128.910034
KOH_00008,Kohima,255.000000,0.000000,460.356110,190.764099,46.281372
KOH_00009,Kohima,205.000000,0.000000,485.876495,269.016205,90.521301
KOH_00010,Kohima,164.000000,0.000000,473.328186,292.207611,105.482849
KOH_00011,Kohima,12440.000000,0.027682,233.410141,145.339249,0.000000
KOH_00012,Kohima,14312.000000,0.077206,135.312531,93.590820,0.000000
KOH_00013,Kohima,14727.000000,0.047273,154.265335,105.098648,0.000000
KOH_00014,Kohima,85.000000,0.000000,480.805969,169.112473,0.000000
KOH_00015,Kohima,653.000000,0.030534,194.222153,98.971497,0.000000
KOH_00016,Kohima,929.000000,0.089286,116.130440,27.618914,0.000000
KOH_00017,Kohima,2.000000,0.000000,922.837402,589.723999,574.645020
KOH_00018,Kohima,310.000000,0.000000,598.364624,317.526031,188.217041
KOH_00019,Kohima,973.000000,0.033898,147.186798,87.209511,0.000000
KOH_00020,Kohima,1361.000000,0.064151,116.278122,77.231247,0.000000
KOH_00021,Kohima,3266.000000,0.088235,93.173759,56.905022,0.000000
KOH_00022,Kohima,7701.000000,0.082031,99.511566,72.196632,0.000000
KOH_00023,Kohima,11246.000000,0.069853,114.956169,66.295044,0.000000
KOH_00024,Kohima,12437.000000,0.047794,145.325943,94.436752,0.000000
KOH_00025,Kohima,260.000000,0.000000,223.508606,146.875671,5.323116
KOH_00026,Kohima,1127.000000,0.055147,179.814819,119.727966,0.000000
KOH_00027,Kohima,143.000000,0.000000,537.261047,329.291443,201.309326
