cell_id,district,latitude,longitude,smap_ease2_grid_cell,observation_timestamp,soil_moisture_current,soil_moisture_previous,soil_moisture_change,soil_moisture_change_percent,source,source_product,source_resolution,data_status,source_timestamp,ingestion_timestamp,quality_flag
KOH_00001,Kohima,25.650616,93.895389,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00002,Kohima,25.654129,93.894155,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00003,Kohima,25.658344,93.894176,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00004,Kohima,25.662690,93.894865,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00005,Kohima,25.667050,93.895588,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00006,Kohima,25.670325,93.896153,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00007,Kohima,25.646025,93.899993,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00008,Kohima,25.649457,93.898828,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00009,Kohima,25.653870,93.898750,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00010,Kohima,25.658384,93.898784,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00011,Kohima,25.662899,93.898818,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00012,Kohima,25.667413,93.898852,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00013,Kohima,25.671857,93.898996,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00014,Kohima,25.676289,93.899615,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00015,Kohima,25.680838,93.900240,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00016,Kohima,25.684541,93.900789,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00017,Kohima,25.633152,93.905885,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00018,Kohima,25.636052,93.905437,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00019,Kohima,25.640720,93.904835,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00020,Kohima,25.644863,93.903727,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00021,Kohima,25.649324,93.903697,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00022,Kohima,25.653839,93.903731,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00023,Kohima,25.658353,93.903765,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00024,Kohima,25.662868,93.903799,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00025,Kohima,25.667383,93.903833,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00026,Kohima,25.671897,93.903867,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00027,Kohima,25.676412,93.903901,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
KOH_00028,Kohima,25.680926,93.903935,EASE2_M09_R0460_C2933,2026-09-15T18:00:00Z,0.2465,0.1546,0.0919,59.44,NASA / NSIDC SMAP Mission,SPL3SMP_E_V006,9 km (EASE-Grid 2.0) Daily,STALE,2026-09-15T18:00:00Z,2026-09-18T07:24:34.983640+00:00,PASSED_VERIFICATION;STALE_OBSERVATION_LATENCY_EXCEEDED
